Plantago lanceolata;Smalle weegbree;200
Urtica dioica;Grote brandnetel;189
Hypochaeris radicata;Gewoon biggenkruid;186
Achillea millefolium;Duizendblad;184
Ranunculus acris;Scherpe boterbloem;183
Ranunculus repens;Kruipende boterbloem;183
Sambucus nigra;Gewone vlier;181
Jacobaea vulgaris;Jakobskruiskruid / Duinkruiskruid;180
Cirsium arvense;Akkerdistel;176
Rumex obtusifolius;Ridderzuring;175
Arrhenatherum elatius;Glanshaver;174
Trifolium repens;Witte klaver;173
Poa annua;Straatgras;172
Holcus lanatus;Gestreepte witbol;171
Plantago major;Grote / Getande weegbree;169
Equisetum arvense;Heermoes;168
Bellis perennis;Madeliefje;167
Cirsium vulgare;Speerdistel;163
Artemisia vulgaris;Bijvoet;162
Acer pseudoplatanus;Gewone esdoorn;162
Cerastium fontanum;Gewone / Glanzige hoornbloem;162
Quercus robur;Zomereik;161
Galium aparine;Kleefkruid;160
Stellaria media;Vogelmuur;160
Hypericum perforatum;Sint-Janskruid;159
Sonchus oleraceus;Gewone melkdistel;159
Heracleum sphondylium;Gewone berenklauw;158
Capsella bursa-pastoris;Herderstasje;157
Hedera helix;Klimop;155
Senecio inaequidens;Bezemkruiskruid;155
Geranium molle;Zachte ooievaarsbek;155
Glechoma hederacea;Hondsdraf;155
Chelidonium majus;Stinkende gouwe;154
Senecio vulgaris;Klein kruiskruid;153
Sonchus asper;Gekroesde melkdistel;152
Lapsana communis;Akkerkool;152
Anthriscus sylvestris;Fluitenkruid;151
Polygonum aviculare;Gewoon varkensgras;151
Trifolium pratense;Rode klaver;151
Dactylis glomerata;Kropaar;151
Lolium perenne;Engels raaigras;150
Rubus fruticosus;Gewone braam;150
Chenopodium album;Melganzenvoet;149
Sisymbrium officinale;Gewone raket;148
Crepis capillaris;Klein streepzaad;148
Aegopodium podagraria;Zevenblad;147
Daucus carota;Peen;146
Fraxinus excelsior;Es;146
Tanacetum vulgare;Boerenwormkruid;144
Juncus effusus;Pitrus;144
Lamium purpureum;Paarse dovenetel;144
Medicago lupulina;Hopklaver;144
Festuca rubra;Rood zwenkgras;143
Sagina procumbens;Liggende vetmuur;142
Betula pendula;Ruwe berk;142
Rumex acetosa;Veldzuring;141
Vicia hirsuta;Ringelwikke;140
Geranium robertianum;Robertskruid;140
Geranium pusillum;Kleine ooievaarsbek;139
Lamium album;Witte dovenetel;138
Sorbus aucuparia;Wilde lijsterbes;135
Vicia sativa;Smalle / Vergeten / Voederwikke;135
Symphytum officinale;Gewone smeerwortel;134
Epilobium hirsutum;Harig wilgenroosje;134
Dryopteris filix-mas;Mannetjesvaren;134
Matricaria discoidea;Schijfkamille;134
Cardamine hirsuta;Kleine veldkers;132
Trifolium dubium;Kleine klaver;131
Eupatorium cannabinum;Koninginnekruid;130
Salix caprea;Boswilg;130
Persicaria maculosa;Perzikkruid;130
Lactuca serriola;Kompassla;129
Corylus avellana;Hazelaar;129
Crataegus monogyna;Eenstijlige meidoorn;129
Solanum nigrum;Zwarte / Beklierde nachtschade;126
Epilobium parviflorum;Viltige basterdwederik;125
Veronica arvensis;Veldereprijs;125
Hordeum murinum;Kruipertje;124
Agrostis stolonifera;Fioringras;124
Echinochloa crus-galli;Europese hanenpoot;124
Rumex acetosella;Schapenzuring;123
Alnus glutinosa;Zwarte els;122
Ilex aquifolium;Hulst;122
Robinia pseudoacacia;Robinia;121
Carex hirta;Ruige zegge;120
Phragmites australis;Riet;120
Arabidopsis thaliana;Zandraket;118
Agrostis capillaris;Gewoon struisgras;118
Geum urbanum;Geel nagelkruid;117
Prunus serotina;Amerikaanse vogelkers;117
Alliaria petiolata;Look-zonder-look;117
Bromus hordeaceus;Zachte dravik;117
Galinsoga quadriradiata;Harig knopkruid;117
Rumex crispus;Krulzuring;116
Buddleja davidii;Vlinderstruik;116
Juncus bufonius;Greppelrus;116
Cerastium glomeratum;Kluwenhoornbloem;115
Prunella vulgaris;Gewone brunel;114
Phalaris arundinacea;Rietgras;114
Tussilago farfara;Klein hoefblad;113
Papaver rhoeas;Grote klaproos;112
Humulus lupulus;Hop;112
Linaria vulgaris;Vlasbekje;108
Poa trivialis;Ruw beemdgras;108
Epilobium tetragonum;Kantige basterdwederik;107
Persicaria amphibia;Veenwortel;106
Lycopus europaeus;Wolfspoot;106
Iris pseudacorus;Gele lis;105
Mercurialis annua;Tuinbingelkruid;101
Prunus avium;Zoete kers;101
Vicia cracca;Vogelwikke;100
Convolvulus arvensis;Akkerwinde;100
Lotus pedunculatus;Moerasrolklaver;99
Digitaria sanguinalis;Harig vingergras;98
Juglans regia;Okkernoot;97
Epipactis helleborine;Brede wespenorchis / Duinwespenorchis;97
Acer platanoides;Noorse esdoorn;96
Asplenium ruta-muraria;Muurvaren;95
Persicaria lapathifolia;Beklierde duizendknoop;94
Solanum dulcamara;Bitterzoet;94
Gnaphalium uliginosum;Moerasdroogbloem;94
Lythrum salicaria;Grote kattenstaart;93
Poa pratensis;Veldbeemdgras;93
Cytisus scoparius;Brem;92
Euphorbia peplus;Tuinwolfsmelk;91
Potentilla reptans;Vijfvingerkruid;91
Cymbalaria muralis;Muurleeuwenbek;91
Melilotus albus;Witte honingklaver;90
Arenaria serpyllifolia;Gewone zandmuur;90
Vulpia myuros;Gewoon langbaardgras;89
Oxalis corniculata;Gehoornde klaverzuring;89
Geranium dissectum;Slipbladige ooievaarsbek;89
Calamagrostis epigejos;Duinriet;89
Salix alba;Schietwilg;89
Cardamine pratensis;Pinksterbloem;88
Epilobium ciliatum;Beklierde basterdwederik;88
Sinapis arvensis;Herik;88
Anthoxanthum odoratum;Gewoon reukgras;88
Papaver dubium;Bleke klaproos;85
Malva sylvestris;Groot kaasjeskruid;85
Urtica urens;Kleine brandnetel;85
Fallopia convolvulus;Zwaluwtong;85
Castanea sativa;Tamme kastanje;84
Solidago gigantea;Late guldenroede;83
Myosotis arvensis;Akkervergeet-mij-nietje;83
Leucanthemum vulgare;Gewone margriet;82
Hieracium umbellatum;Schermhavikskruid;82
Angelica sylvestris;Gewone engelwortel;82
Erodium cicutarium;Reigersbek;82
Veronica persica;Grote ereprijs;81
Arctium minus;Gewone klit;81
Rorippa palustris;Moeraskers;81
Stachys sylvatica;Bosandoorn;79
Filipendula ulmaria;Moerasspirea;79
Atriplex patula;Uitstaande melde;78
Veronica serpyllifolia;Tijmereprijs;77
Verbascum thapsus;Koningskaars;77
Typha latifolia;Grote lisdodde;77
Rosa canina;Hondsroos;76
Scrophularia nodosa;Knopig helmkruid;76
Quercus rubra;Amerikaanse eik;76
Ribes rubrum;Aalbes;76
Berberis aquifolium;Mahonie;75
Sagina apetala;Donkere vetmuur;75
Aesculus hippocastanum;Witte paardenkastanje;75
Lotus corniculatus;Gewone rolklaver s.l.;74
Lolium multiflorum;Italiaans raaigras;74
Lysimachia vulgaris;Grote wederik;72
Carpinus betulus;Haagbeuk;72
Sonchus arvensis;Akkermelkdistel;71
Phleum pratense;Timoteegras / Klein timoteegras;71
Tragopogon pratensis;Gele / Oosterse morgenster;70
Holcus mollis;Gladde witbol;69
Rubus caesius;Dauwbraam;69
Ranunculus sceleratus;Blaartrekkende boterbloem;67
Centaurea jacea;Knoopkruid;67
Lepidium virginicum;Amerikaanse kruidkers;67
Viola arvensis;Akkerviooltje;67
Juncus tenuis;Tengere rus;67
Lamium amplexicaule;Hoenderbeet;67
Cardamine flexuosa;Bosveldkers;66
Sedum acre;Muurpeper;66
Mentha aquatica;Watermunt;66
Potentilla indica;Schijnaardbei;66
Ulmus minor;Gladde iep;66
Ornithopus perpusillus;Klein vogelpootje;65
Symphoricarpos albus;Sneeuwbes;65
Fagus sylvatica;Beuk;64
Acer campestre;Spaanse aak;64
Galeopsis tetrahit;Gewone hennepnetel;63
Athyrium filix-femina;Wijfjesvaren;63
Dryopteris dilatata;Brede stekelvaren;63
Plantago coronopus;Hertshoornweegbree;63
Pulicaria dysenterica;Heelblaadjes;62
Diplotaxis tenuifolia;Grote zandkool;62
Luzula campestris;Gewone veldbies;62
Prunus spinosa;Sleedoorn;62
Oenothera deflexa;Zandteunisbloem;62
Heracleum mantegazzianum;Reuzenberenklauw;61
Anagallis arvensis;Rood guichelheil / Blauw guichelheil;61
Chenopodium polyspermum;Korrelganzenvoet;61
Stellaria graminea;Grasmuur;61
Clematis vitalba;Bosrank;60
Equisetum palustre;Lidrus;60
Cornus sanguinea;Rode kornoelje;60
Eragrostis minor;Klein liefdegras;60
Lathyrus pratensis;Veldlathyrus;59
Glyceria fluitans;Mannagras;59
Rumex conglomeratus;Kluwenzuring;59
Alopecurus pratensis;Grote vossenstaart;59
Bidens frondosa;Zwart tandzaad;58
Setaria viridis;Groene naaldaar;58
Galinsoga parviflora;Kaal knopkruid;57
Aethusa cynapium;Hondspeterselie;57
Atriplex prostrata;Spiesmelde;57
Silene dioica;Dagkoekoeksbloem;57
Lonicera periclymenum;Wilde kamperfoelie;57
Veronica chamaedrys;Gewone ereprijs;57
Silene latifolia;Avondkoekoeksbloem s.l.;56
Glyceria maxima;Liesgras;56
Festuca arundinacea;Rietzwenkgras;56
Trifolium arvense;Hazenpootje;56
Lemna minor;Klein kroos;56
Juncus inflexus;Zeegroene rus;54
Epilobium montanum;Bergbasterdwederik;54
Ailanthus altissima;Hemelboom;53
Poa nemoralis;Schaduwgras;53
Fragaria vesca;Bosaardbei;52
Viburnum opulus;Gelderse roos;52
Verbena officinalis;IJzerhard;52
Lepidium ruderale;Steenkruidkers;52
Carex remota;IJle zegge;52
Cirsium palustre;Kale jonker;51
Asplenium scolopendrium;Tongvaren;50
Salix cinerea;Grauwe wilg s.l.;50
Chaerophyllum temulum;Dolle kervel;50
Euphorbia helioscopia;Kroontjeskruid;50
Euphorbia lathyris;Kruisbladige wolfsmelk;50
Betula pubescens;Zachte berk;49
Veronica hederifolia;Klimopereprijs;49
Chenopodium ficifolium;Stippelganzenvoet;49
Malva neglecta;Klein kaasjeskruid;48
Agrostis gigantea;Hoog struisgras;48
Polygonatum multiflorum;Gewone salomonszegel;48
Alisma plantago-aquatica;Grote waterweegbree;48
Scrophularia auriculata;Geoord helmkruid;48
Cerastium semidecandrum;Zandhoornbloem;48
Impatiens glandulifera;Reuzenbalsemien;48
Senecio viscosus;Kleverig kruiskruid;48
Reseda lutea;Wilde reseda;47
Saxifraga tridactylites;Kandelaartje;47
Cotoneaster horizontalis;Vlakke dwergmispel;47
Silene flos-cuculi;Echte koekoeksbloem;47
Stachys palustris;Moerasandoorn;46
Datura stramonium;Doornappel;46
Alopecurus geniculatus;Geknikte vossenstaart;46
Picris hieracioides;Echt bitterkruid;45
Oenothera biennis;Middelste teunisbloem;45
Carduus crispus;Kruldistel;45
Raphanus raphanistrum;Knopherik;45
Taxus baccata;Taxus;44
Galium palustre;Moeraswalstro;43
Myosoton aquaticum;Watermuur;43
Digitalis purpurea;Vingerhoedskruid;43
Ranunculus sardous;Behaarde boterbloem;43
Trifolium campestre;Liggende klaver;43
Galium mollugo;Glad walstro;42
Rumex hydrolapathum;Waterzuring;42
Allium vineale;Kraailook;41
Juncus articulatus;Zomprus;41
Vicia tetrasperma;Vierzadige / Slanke wikke;41
Rubus idaeus;Framboos;41
Populus alba;Witte abeel;41
Melilotus officinalis;Citroengele honingklaver;41
Pseudofumaria lutea;Gele helmbloem;40
Viola odorata;Maarts viooltje;40
Chaenorhinum minus;Kleine leeuwenbek;40
Populus tremula;Ratelpopulier;40
Pteridium aquilinum;Adelaarsvaren;40
Medicago sativa;Luzerne;39
Claytonia perfoliata;Winterpostelein;39
Teucrium scorodonia;Valse salie;39
Solidago canadensis;Canadese guldenroede;39
Tanacetum parthenium;Moederkruid;39
Veronica peregrina;Vreemde ereprijs;39
Spergula arvensis;Gewone spurrie;38
Salix viminalis;Katwilg;38
Leontodon saxatilis;Kleine leeuwentand;37
Cochlearia danica;Deens lepelblad;37
Lunaria annua;Tuinjudaspenning;37
Lysimachia nummularia;Penningkruid;37
Rorippa amphibia;Gele waterkers;37
Juncus conglomeratus;Biezenknoppen;36
Oenothera glazioviana;Grote teunisbloem;36
Carex acutiformis;Moeraszegge;36
Melissa officinalis;Citroenmelisse;36
Bidens tripartita;Veerdelig tandzaad;36
Dryopteris carthusiana;Smalle stekelvaren;36
Vicia sepium;Heggenwikke;36
Petasites hybridus;Groot hoefblad;36
Asplenium trichomanes;Steenbreekvaren;35
Juncus acutiflorus;Veldrus;35
Phalaris canariensis;Kanariezaad;35
Chenopodium rubrum;Rode ganzenvoet;35
